period,stateid,stateDescription,sectorid,sectorName,customers,price,revenue,sales,customers-units,price-units,revenue-units,sales-units
2025-01,ME,Maine,RES,residential,755615,26.13,121.14802,463.63903,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,ME,Maine,TRA,transportation,0,0,0,0,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MI,Michigan,ALL,all sectors,5115351,14.1,1232.07051,8736.72988,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MI,Michigan,COM,commercial,567516,13.62,444.24575,3260.98639,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MI,Michigan,IND,industrial,5480,8.5,191.42687,2252.42054,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MI,Michigan,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MI,Michigan,RES,residential,4542353,18.5,596.31987,3222.71446,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MI,Michigan,TRA,transportation,2,12.82,.07803,.60849,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MN,Minnesota,ALL,all sectors,2928264,12.1,731.90978,6049.28483,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MN,Minnesota,COM,commercial,310494,11.65,235.75014,2023.999,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MN,Minnesota,IND,industrial,9170,9.1,148.56473,1633.36935,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MN,Minnesota,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MN,Minnesota,RES,residential,2608599,14.53,347.40085,2390.25604,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MN,Minnesota,TRA,transportation,1,11.69,.19407,1.66043,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MO,Missouri,ALL,all sectors,3292010,10.01,770.28248,7697.35115,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MO,Missouri,COM,commercial,404160,9.16,238.23867,2600.46459,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MO,Missouri,IND,industrial,9248,7.57,79.42493,1049.63987,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MO,Missouri,OTH,other,,,,,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
2025-01,MO,Missouri,RES,residential,2878600,11.19,452.39834,4044.54834,number of customers,cents per kilowatt-hour,million dollars,million kilowatt hours
